model,sample_idx,label,pred_prob,gsshap_time,gsshap_nplayers,gsshap_compression,gsshap_comp,gsshap_suff,gsshap_gini,gsshap_efficiency_err,timeshap_time,timeshap_comp,timeshap_suff,timeshap_gini,winshap_time,winshap_comp,winshap_suff,winshap_gini,lime_time,lime_comp,lime_suff,lime_gini,noseg_time,noseg_comp,noseg_suff,noseg_gini,nogrp_time,nogrp_comp,nogrp_suff,nogrp_gini,rank_gs_ts
LSTM,0,1,1.0,0.34254840295761824,4,0.95,0.0,0.0,-1.0125,0.0,0.518435190897435,0.0,0.0,-1.0125,0.2620783420279622,0.0,0.0,-1.0125,0.26777847786433995,0.0,0.0,-1.0125,0.19393709185533226,0.0,0.0,-1.0125,0.7518315759953111,0.0,0.0,0.5510402051448087,
LSTM,1,1,1.0,0.3213072910439223,4,0.95,0.0,0.0,-1.0125,0.0,0.5195495360530913,0.0001650005578994751,0.0,0.5357255191991463,0.2628929640632123,0.0,0.0,-1.0125,0.269241597969085,0.0005461424589157104,0.0,0.35812348097920843,0.19207210093736649,0.0,0.0,0.5682199332272668,0.778639345895499,0.0,0.0,-1.0125,
LSTM,2,1,1.0,0.2792008360847831,3,0.9625,0.0,0.0,-1.0125,0.0,0.516755242832005,0.0,0.0,-1.0125,0.26230189111083746,0.0,0.0,-1.0125,0.2668594110291451,0.0,0.0,-1.0125,0.19047079188749194,0.0,0.0,-1.0125,0.7107138929422945,0.0,0.0,-1.0125,
LSTM,3,0,0.0020685666240751743,0.29788333107717335,3,0.9625,-0.9979314208030701,0.1238836869597435,0.8990713786401985,1.257285475730896e-08,0.5173193751834333,-0.7483827471733093,0.9979314208030701,0.20751428736290634,0.2624014609027654,-0.7486230731010437,0.9979314208030701,0.09819327799533606,0.267180296825245,-0.9966918230056763,0.9979314208030701,0.21846630050216986,0.1906718211248517,-0.9979314208030701,0.005110413767397404,0.8549628465460342,0.6899413710925728,-0.9979314208030701,0.0011115511879324913,0.8695086009195077,0.5081391846066426
LSTM,4,0,0.0070468890480697155,0.25992458616383374,3,0.9625,-0.9929531216621399,0.004182699602097273,0.8979460067902392,1.0710209608078003e-08,0.5179096579086035,-0.7438254952430725,0.9929531216621399,0.22246538702786878,0.2626801470760256,-0.7426767349243164,0.9929531216621399,0.0979651957273624,0.267865554895252,-0.9892617464065552,0.9929531216621399,0.23126732432394848,0.19110569404438138,-0.9929531216621399,0.00432994868606329,0.8675994657741883,0.6565826791338623,-0.9929531216621399,0.006013860460370779,0.8931071322412929,0.4640572884483878
LSTM,5,0,0.14457058906555176,0.2591293570585549,3,0.9625,-0.8554294109344482,0.08101952075958252,0.8691320809342302,0.0,0.5170859661884606,-0.8550353050231934,0.8554294109344482,0.26817501734932736,0.2626005751080811,-0.609801709651947,0.8554292917251587,0.14504749504372305,0.26738450210541487,-0.8170145153999329,0.8554294109344482,0.2200438604112911,0.19137965491972864,-0.8554294109344482,0.08573512732982635,0.8666120372126225,0.7017668029293418,-0.8554294109344482,0.07612435519695282,0.836670347367751,0.3712458307587102
LSTM,6,1,1.0,0.27842970099300146,3,0.9625,0.0004935264587402344,0.0,-1.0125,0.0,0.5170138289686292,5.601346492767334e-05,0.0,0.4726555396631098,0.2617396560963243,0.0004935264587402344,0.0,-1.0125,0.26679436513222754,3.731250762939453e-05,0.0,0.3638886372614809,0.18993677687831223,0.0004935264587402344,0.0,-1.0125,0.500389507971704,0.0004935264587402344,0.0,-1.0125,
LSTM,7,0,0.016941821202635765,0.25844939099624753,3,0.9625,-0.9830581545829773,0.012890243902802467,0.8934143452969168,2.421438694000244e-08,0.5141846120823175,-0.7340365648269653,0.9830581545829773,0.16309071679686293,0.2609863330144435,-0.7329975366592407,0.9830581545829773,0.09757374581637301,0.2664428330026567,-0.9824293255805969,0.9830581545829773,0.17569351346468598,0.18926025205291808,-0.9830581545829773,0.013216793537139893,0.8725960717275327,0.7452701730653644,-0.9830581545829773,0.013339911587536335,0.8893026361679941,0.4640572884483878
LSTM,8,0,0.008605948649346828,0.2592394598759711,3,0.9625,-0.99139404296875,0.004629035480320454,0.8975038831717459,8.381903171539307e-09,0.5153954480774701,-0.9913650751113892,0.99139404296875,0.25645350591453697,0.26206617592833936,-0.7412371635437012,0.99139404296875,0.1053192718893774,0.2672231961041689,-0.9264781475067139,0.99139404296875,0.24458847088414903,0.19330036407336593,-0.99139404296875,0.004816447850316763,0.869516310664028,0.7251064390875399,-0.99139404296875,0.004715009592473507,0.8935700534669822,0.3712458307587102
LSTM,9,1,1.0,0.2770551110152155,3,0.9625,0.0,0.0,-1.0125,0.0,0.5151776419952512,0.0,0.0,-1.0125,0.26216140086762607,0.0,0.0,-1.0125,0.2675405628979206,0.0,0.0,-1.0125,0.19036994501948357,0.0,0.0,-1.0125,0.7274044959340245,0.0,0.0,-1.0125,
LSTM,10,1,1.0,0.2779463520273566,3,0.9625,0.001650974154472351,0.0,-1.0125,0.0,0.5171110271476209,3.4570693969726562e-06,0.0,0.472143880419738,0.26265302998945117,0.001650974154472351,0.0,-1.0125,0.266683534020558,1.519918441772461e-06,0.0,0.3651713439121669,0.19104665401391685,0.001650974154472351,0.0,-1.0125,0.7410202999599278,0.001650974154472351,0.0,-1.0125,
LSTM,11,0,0.004568309523165226,0.25898794108070433,3,0.9625,-0.995431661605835,0.0027023963630199432,0.89861715922679,3.073364496231079e-08,0.5164109009783715,-0.9952833652496338,0.995431661605835,0.27248257096727224,0.26159380516037345,-0.7449442744255066,0.995431661605835,0.10674825947441047,0.26723612612113357,-0.9050345420837402,0.995431661605835,0.25104298485180476,0.19017612212337554,-0.995431661605835,0.0029037497006356716,0.8706273418098618,0.7432160340249538,-0.995431661605835,0.0023080299142748117,0.8959968208189846,0.3712458307587102
LSTM,12,0,0.07218139618635178,0.2588612618856132,3,0.9625,-0.9278185963630676,0.05266909301280975,0.8743069289239314,7.450580596923828e-09,0.515303464839235,-0.6803562641143799,0.9278185963630676,0.16586661757257448,0.2617293468210846,-0.6760486364364624,0.9278185963630676,0.09768779291970553,0.26694689388386905,-0.9262120127677917,0.9278185963630676,0.17891697015181673,0.18841773900203407,-0.9278185963630676,0.056166794151067734,0.8676466503236153,0.7419462220277637,-0.9278185963630676,0.05314403027296066,0.8664294443315899,0.4640572884483878
LSTM,13,1,1.0,0.27694608294405043,3,0.9625,0.0,3.8951635360717773e-05,0.49152948915475814,0.0,0.514629767043516,3.6597251892089844e-05,0.0,0.47260576199405535,0.2611794788390398,0.0006621181964874268,0.0,-1.0125,0.26582775288261473,1.5079975128173828e-05,0.0,0.3634176432526599,0.18809144501574337,0.0,3.8951635360717773e-05,0.5801074052688278,0.7059082258492708,0.0,1.2814998626708984e-06,0.6772343358070376,0.4640572884483878
LSTM,14,0,0.08362571895122528,0.2583918571472168,3,0.9625,-0.9163742661476135,0.06277360022068024,0.8704970038411863,1.4901161193847656e-08,0.5156406569294631,-0.6696075201034546,0.9163742661476135,0.1801797326686645,0.2621492659673095,-0.6687583923339844,0.9163742065429688,0.10642998254365366,0.265905522974208,-0.881731390953064,0.9163742661476135,0.18795694788765505,0.18836649390868843,-0.9163742661476135,0.06554944068193436,0.8668373704226549,0.6500345889944583,-0.9163742661476135,0.05070817098021507,0.8345353828830235,0.4640572884483878
LSTM,15,0,0.006810884922742844,0.2591830031014979,3,0.9625,-0.9931890964508057,0.004092761315405369,0.8978800348888458,1.862645149230957e-08,0.5155982109718025,-0.9929990172386169,0.9931890964508057,0.2453063859764053,0.26253604399971664,-0.7427557706832886,0.9931890964508057,0.10200982296194483,0.26798928808420897,-0.9519134163856506,0.9931890964508057,0.2427403220084412,0.19039110792800784,-0.9931890964508057,0.004251553677022457,0.8694650190661009,0.7050502919591963,-0.9931890964508057,0.004111261107027531,0.8942146307757837,0.3712458307587102
LSTM,16,1,1.0,0.2792142869438976,3,0.9625,0.0,0.0,-1.0125,0.0,0.5178239720407873,1.4901161193847656e-07,0.0,0.4461336115548562,0.2613870711065829,0.0,0.0,-1.0125,0.26694068405777216,0.0,0.0,0.31396418812258653,0.18926045298576355,0.0,0.0,-1.0125,0.7438744839746505,0.0,0.0,-1.0125,
LSTM,17,0,0.0009754350176081061,0.25910166394896805,3,0.9625,-0.9990245699882507,0.00026955659268423915,0.899826455035476,5.005858838558197e-09,0.5135875339619815,-0.993066132068634,0.999024510383606,0.3694586338900676,0.2617103550583124,-0.9167671799659729,0.999024510383606,0.22995023421146055,0.2659705290570855,-0.7474789023399353,0.999024510383606,0.30009859534999195,0.1889818599447608,-0.9990245699882507,0.00024323459365405142,0.8908159017661099,0.7048352579586208,-0.9990245699882507,0.0005829259171150625,0.8952829034449978,-0.3712458307587102
